subject,relation,object
地壳,校正,地幔
重力,包含,沉积岩
重力,用于,局部异常
地核,产生,密度
重力,解释,密度
地幔,反映,密度
重力,解释,矿体
重力,产生,重力异常
密度,测量,重力异常
布格异常,包含,等值线图
重力,反映,断裂
重力,解释,延拓
重力,反映,重力测量
金属矿,用于,矿体
密度,影响,地幔
重力,测量,引力
重力,用于,矿体
引力,产生,离心力
中间层校正,校正,高度校正
地壳,影响,布格异常
梯度,反演,重力
区域异常,解释,梯度
地壳,校正,重力异常
密度,产生,重力低
重力异常,包含,局部异常
重力测量,测量,地形校正
重力,测量,断裂
重力,测量,重力测量
重力异常,反映,地槽区
地形校正,校正,中间层校正
重力,解释,盆地
布格校正,校正,中间层校正
重力测量,产生,地层
布格异常,产生,重力
密度,包含,矿体
密度,校正,引力
重力异常,包含,密度
密度,包含,地壳
盆地,正演,重力异常
重力异常,包含,地壳
沉积岩,包含,密度
重力异常,产生,中间层校正
重力,反映,地幔
地形校正,校正,布格校正
密度,产生,梯度
区域异常,延拓,延拓
局部异常,产生,重力
重力,正演,密度
重力,正演,矿体
岩浆,反映,重力
